job_id,contract_id,clause_id,citation,clause_name,taxonomy,taxonomy_provenance,type,prob,issue,matched,matched_key,gold_issue,gold_type,alignment,determinable,words_at_issue,evidence,reason
177FSupp3d561_2011_12_edition_of__c010__t2_1,177FSupp3d561_2011_12_edition_of,c010,177 F.Supp.3d 561,3.3 Communication of consent,2.2,model,2,0.33,"3.3's allowance that consent ""may be communicated verbally or through actions"" and inferred from circumstances cannot be squared with 3.1's requirement of ""explicit consent"" for each act of sexual contact. A fact-finder applying both has no rule for consent manifested by conduct in an ongoing relationship.",,,,,0.0,True,"The proposed issue turns on § 3.3’s words “may be communicated verbally or through actions,” contrasted with § 3.1’s “explicit consent” requirement, particularly for consent manifested by conduct in an ongoing relationship. Candidate g1 turns on § 3.3’s statement that an existing sexual relationship “does not constitute consent,” its relationship to consent communicated “through actions,” and whether that relationship is nevertheless relevant context.",,"The proposed issue alleges a conflict between § 3.3 and § 3.1’s separate requirement of explicit consent for each act. Candidate g1 instead concerns an alleged internal tension within § 3.3 and whether the prior relationship may remain relevant context despite not itself constituting consent, so it does not name the same defect."
177FSupp3d561_2012_13_student_handbook__c007__t1_1,177FSupp3d561_2012_13_student_handbook,c007,177 F.Supp.3d 561,2.1. Integrity and personal rights,1.3,model,1,0.2,"The prohibited behaviors — ""intimidates"", ""harasses or bullies"", ""unwanted physical contact"", ""endangers the health, safety, or welfare"" — are stated as bare verbs with no severity, intent, or reasonableness threshold. A student cannot tell from the words where ordinary conduct ends and a violation begins.",,,,,0.0,True,"The proposed issue concerns the bare terms “intimidates,” “harasses or bullies,” “unwanted physical contact,” and “endangers the health, safety, or welfare,” specifically their silence as to severity, intent, and reasonableness. Candidate g1 concerns “physically harms or is considered unwanted physical contact” together with the examples “hitting, pushing, or physical altercations/violence of any kind,” and whether that wording classifies nonviolent unwanted sexual contact as “violence.”",,"The proposed issue alleges that several prohibitions lack severity, intent, or reasonableness thresholds. Candidate g1 instead concerns whether the examples and reference to “violence” bring nonviolent unwanted sexual contact within § 2.1.d, a distinct list-scope and definitional problem."
18FSupp3d456_phoenix_accumulator_universal_life__c069__t1_1,18FSupp3d456_phoenix_accumulator_universal_life,c069,18 F.Supp.3d 456,Section 9: Cost of Insurance Charge basis,2.2,model,1,0.58,"The rate factors are enumerated — sex, Age, Risk Classification, Basic and Supplemental Face Amount, Net Amount at Risk and duration — and expressio unius would make that list exhaustive, so that rates may not be set by reference to unlisted characteristics. The sentence is also expressly limited to rates ""as of the Policy Date,"" saying nothing about later re-determinations.",g2,18FSupp3d456_phoenix_accumulator_universal_life__c069__i2,"The scope of “as of the Policy Date” was unclear until Paragraph A was construed together with Paragraph B, which made Paragraph A govern only the initial COI rate and Paragraph B govern subsequent Policy-Month adjustments.",2.2,0.84,True,"The proposed issue concerns both the enumerated factor list and its silence about unlisted characteristics, and the phrase “as of the Policy Date” and its silence about later rate determinations. G1 concerns the omission of “Policy Value” from that list and its incorporation through the separately defined “Net Amount at Risk,” while g2 concerns “as of the Policy Date” read against Paragraph B’s “Policy Month” language for later adjustments.","Paragraph A specifically states that its factors are to be used in setting the COI rate on the “Policy Date,” and Paragraph B enumerates the factors to be used in setting the COI rate for a “Policy Month.” Given these two separate COI rate definitions, the contract must be interpreted to mean that only the initial COI rate is calculated in accordance with Paragraph A. Any subsequent COI rate adjustments — COI rates for “Policy Months”— must be calculated in accordance with Paragraph B.","G2 directly matches the proposed issue’s temporal-scope complaint: “as of the Policy Date” limits this sentence to the initial rate and leaves later adjustments to other text. The choice is somewhat close because g1 touches the proposed list-exhaustiveness theory, but g1 specifically concerns Policy Value’s incorporation through Net Amount at Risk rather than whether all unlisted characteristics are excluded."
18FSupp3d456_phoenix_accumulator_universal_life__c070__t1_1,18FSupp3d456_phoenix_accumulator_universal_life,c070,18 F.Supp.3d 456,Section 9: Cost of Insurance calculation,"1.1,2.2",model,1,0.56,"Rates ""will be based on our expectations of future mortality, persistency, investment earnings, expense experience, capital and reserve requirements, and tax assumptions"" — a list of unquantified factors with no stated weighting or benchmark, and ""based on"" fixes no relationship between expectations and rates. Whether a rate increase is permitted by this language is precisely what an insured would litigate.",,,,,0.0,True,The proposed issue targets “will be based on our expectations of” and the provision’s silence about how the listed factors are weighted or translated into rates. g1 targets whether “based on” makes the list exclusive; g2 targets “mortality”; g3 targets “persistency”; g4 targets “expectations of ... investment earnings” and whether earnings means income or spread; and g5 targets “specific Policy Month” in contrast with Paragraph A’s “Policy Date.”,,"No recorded defect names the proposed omission of a weighting, benchmark, formula, or required relationship between Phoenix’s expectations and the resulting rate. Although g1 also concerns “based on,” it addresses whether the enumerated list is exhaustive, not how those factors must determine or justify a rate increase; g4 instead disputes the meaning of “investment earnings.”"
18FSupp3d456_phoenix_accumulator_universal_life__c070__t2_1,18FSupp3d456_phoenix_accumulator_universal_life,c070,18 F.Supp.3d 456,Section 9: Cost of Insurance calculation,"1.1,2.2",model,2,0.4,"The factors listed here differ from the factors listed in the immediately preceding Cost of Insurance Charge sentence (sex, Age, Risk Classification, face amounts, Net Amount at Risk, duration), and the policy never says how the two lists relate. An insured would argue the earlier, closed list limits the factors usable under this one.",g5,18FSupp3d456_phoenix_accumulator_universal_life__c070__i5,"The reference to a “specific Policy Month” was construed together with Paragraph A’s separate reference to the “Policy Date,” resulting in Paragraph B governing COI-rate adjustments after the initial rate was set.",2.2,0.68,True,"The proposed issue concerns the difference and alleged silence between Paragraph A’s list—sex, Age, Risk Classification, face amounts, Net Amount at Risk, and duration—and Paragraph B’s “based on our expectations of” list. g1 concerns “based on”; g2 “mortality”; g3 “persistency”; g4 “expectations of ... investment earnings”; and g5 the interaction between “specific Policy Month” and Paragraph A’s “Policy Date,” which determines how the two factor lists apply.","Paragraph A specifically states that its factors are to be used in setting the COI rate on the “Policy Date,” and Paragraph B enumerates the factors to be used in setting the COI rate for a “Policy Month.” Given these two separate COI rate definitions, the contract must be interpreted to mean that only the initial COI rate is calculated in accordance with Paragraph A. Any subsequent COI rate adjustments — COI rates for “Policy Months”— must be calculated in accordance with Paragraph B.","Both concern how the preceding factor list and the current factor list relate. The proposed issue treats that relationship as unstated and argues that the earlier list limits the later sentence, while g5 resolves it through the “Policy Date”/“Policy Month” distinction, making the earlier list govern the initial rate and the current list govern later adjustments."
18FSupp3d456_phoenix_accumulator_universal_life__c072__t1_1,18FSupp3d456_phoenix_accumulator_universal_life,c072,18 F.Supp.3d 456,Section 9: Cost of Insurance rate changes,1.1,model,1,0.66,"Re-determination is permitted ""on a basis that does not discriminate unfairly within any class of insureds,"" but ""class of insureds"" is undefined and the insurer alone would draw the class boundaries. Whether a rate increase applied to a sub-group (by face amount or issue age) is within ""any class"" is the core construction question.",g2,18FSupp3d456_phoenix_accumulator_universal_life__c072__i2,The phrase “class of insureds” was vague about whether classes had to be fixed at policy issuance or Phoenix could later subdivide the issued PAUL series by age and face amount.,1.1,0.94,True,"The proposed issue concerns “class of insureds” and the provision’s silence about who defines class boundaries, particularly for age- or face-amount subgroups. G1 instead concerns “discriminate unfairly” and what makes differential treatment unfair; g2 concerns “class of insureds” and the silence about whether issuance classes could later be subdivided by age and face amount.","Fleisher also argues that Phoenix was required to define any “class of insureds” at the time of policy issuance. Thus, Fle-isher reasons, the groupings Phoenix identified at issuance — the PAUL IIIA and PAUL IIIB/C policy series — constituted the relevant “classes.” Fleisher contends that Phoenix was not permitted to further subdivide the existing policy series classes by age and face amount and to treat each subdivision differently.","The proposed issue and g2 identify the same ambiguity: who may define a “class of insureds” and whether Phoenix could subdivide existing policy series by age and face amount. G2 adds the more specific question whether classes had to be fixed at issuance, but that is a direct formulation of the proposed boundary-drawing problem."
18FSupp3d456_phoenix_accumulator_universal_life__c072__t1_2,18FSupp3d456_phoenix_accumulator_universal_life,c072,18 F.Supp.3d 456,Section 9: Cost of Insurance rate changes,1.1,model,1,0.44,"""We will not distribute past gains or recoup prior losses, if any, by changing the rates"" gives no test for distinguishing a permitted prospective re-pricing from a forbidden recoupment of losses already incurred. The sentence's coverage of an increase driven by past adverse experience is genuinely doubtful.",,,,,0.0,True,"The proposed issue concerns “We will not distribute past gains or recoup prior losses, if any, by changing the rates,” particularly its silence on how to identify forbidden recoupment. Candidate g1 concerns “discriminate unfairly,” while g2 concerns “class of insureds” and whether a class may be redefined after issuance.",,Neither candidate addresses the proposed distinction between permissible prospective rate changes and forbidden recoupment of prior losses. Both concern separate ambiguities in the unfair-discrimination condition.
20FSupp3d709_nols_student_agreement_including__c065__t1_1,20FSupp3d709_nols_student_agreement_including,c065,20 F.Supp.3d 709,Governing law,1.1,westlaw,1,0.27,"The parenthetical ""(not including the laws which might apply the laws of another jurisdiction)"" is garbled and its intended exclusion of renvoi/conflicts rules must be reconstructed. ""Any dispute"" is also undefined as to whether it reaches tort and statutory claims as well as contract claims.",g2,20FSupp3d709_nols_student_agreement_including__c065__i2,"Brenner challenged “any dispute” as lexically ambiguous, but offered no competing reading and the court rejected the asserted ambiguity.",1.1,0.88,True,"The proposed issue targets both the parenthetical “(not including the laws which might apply the laws of another jurisdiction)” as garbled and “Any dispute” as uncertain in claim-type scope. g1 targets “governed by the substantive laws ... of the State of Wyoming” and its silence about the threshold choice-of-law inquiry, while g2 targets “any dispute” and its alleged lexical ambiguity.","Brenner next argues that the contract is ambiguous because it refers to “any dispute.” Brenner does not explain, however, any way in which such language is ambiguous, and such an argument is also without merit.",Both the proposed issue and g2 identify ambiguity in the scope of “any dispute”; the proposed issue merely supplies a specific possible uncertainty—whether noncontractual claims are included—that the litigant apparently did not articulate. The proposed parenthetical/renvoi concern is separate and does not match g1’s concern about the clause’s failure expressly to govern the threshold choice-of-law inquiry.
20FSupp3d709_nols_student_agreement_including__c066__t1_1,20FSupp3d709_nols_student_agreement_including,c066,20 F.Supp.3d 709,Wyoming forum,1.1,westlaw,1,0.46,"""Shall occur or be filed only in the State of Wyoming"" does not say whether suit must be in Wyoming state court or may be in the federal court sitting there, and does not say whether mediation is a mandatory condition precedent to suit. The clause's mandatory reach and its forum are both open on these words.",g2,20FSupp3d709_nols_student_agreement_including__c066__i2,"The phrase requiring suit “only in the State of Wyoming” did not specify federal or state court, and the court construed it to permit suit in either court located there.",1.1,0.88,True,"The proposed issue concerns both “only in the State of Wyoming,” specifically its silence about federal versus state court, and “any mediation or suit shall occur or be filed,” specifically its silence about mandatory mediation before suit. g1 concerns the breadth of “any mediation or suit” as applied to noncontract tort claims, while g2 concerns the federal-versus-state-court silence in “only in the State of Wyoming.”","“The fact that the provision does not specify federal or state court does not make it invalid, but rather allows suit to be brought in either court.”","The proposed issue and g2 identify the same silence in “only in the State of Wyoming”: neither wording specifies state rather than federal court. The score is slightly below full alignment because the proposed issue additionally raises a separate, unmatched question about whether mediation is a condition precedent."
215FSupp3d756_oil_and_gas_lease__c006__t1_1,215FSupp3d756_oil_and_gas_lease,c006,215 F.Supp.3d 756,3(b). Royalty on Gas,2.2,model,1,0.58,"The transportation carve-out is grammatically broken (""Any deduction for the expenses ... shall be added to the price received"" with an unclosed parenthetical reading ""limited to direct for amounts of Lessor's gas transported""), so the scope of the permitted regulated-pipeline deduction cannot be read off the words. Whether ""gathering"" and ""compression"" charged by an affiliate midstream company fall inside or outside the no-deduction rule is the central ambiguity.",,,,,0.0,True,"The proposed issue turns on the second sentence’s exception for regulated-pipeline transportation charges, particularly “limited to direct for amounts of Lessor's gas transported,” and on whether “gathering” and “compression” by an affiliate remain nondeductible. Candidate g1 turns on the relationship between the actual-proceeds formula, the transportation-expense sentence, and a separate third sentence requiring proceeds to equal or exceed field or prevailing-area proceeds.",,"The proposed issue alleges that the transportation exception itself is grammatically indeterminate and leaves affiliate gathering and compression charges uncertain. Candidate g1 instead concerns which earlier sentence a separate minimum-proceeds sentence modifies, so it does not name the same defect."
215FSupp3d756_oil_and_gas_lease__c006__t2_1,215FSupp3d756_oil_and_gas_lease,c006,215 F.Supp.3d 756,3(b). Royalty on Gas,2.2,model,2,0.36,"The royalty base is ""proceeds received from any sale of such gas at the point of sale or delivery,"" which sits against Paragraph 3(f)'s command that royalties be delivered free of gathering, compression, treating and marketing costs ""except as provided for in 3(b)."" The two must be reconciled to know whether the valuation point can be moved downstream by netting costs out of the sale price.",,,,,0.0,True,"The proposed issue turns on “proceeds received from any sale of such gas at the point of sale or delivery,” the expense-deduction language in 3(b), and 3(f)’s “except as provided for in 3(b)” cross-reference. Candidate g1 turns on the relationship among 3(b)’s actual-proceeds sentence, transportation-expense sentence, and a separate minimum-proceeds sentence requiring comparison with sales “in the field or prevailing area whichever is greater.”",,"The proposed issue concerns whether 3(b), read with 3(f), permits a downstream valuation point and netting of post-production costs. Candidate g1 instead concerns whether an internal minimum-proceeds sentence modifies the actual-proceeds formula or the preceding transportation-expense sentence, so it identifies a different textual conflict."
215FSupp3d756_oil_and_gas_lease__c007__t1_1,215FSupp3d756_oil_and_gas_lease,c007,215 F.Supp.3d 756,3(b). Minimum Gas Proceeds,"1.1,2.2",model,1,0.42,"The floor is set by ""proceeds received from sales in the field or prevailing area whichever is the greater,"" and neither ""field"" nor ""prevailing area"" is defined or bounded. Nor is it said whose sales, over what period, are to be compared.",g1,215FSupp3d756_oil_and_gas_lease__c007__i1,"The undefined phrase “field or prevailing area” was lexically ambiguous because Dorchester treated “field” and “prevailing area” as two different localities, whereas Chesapeake treated them as a single, roughly synonymous geographic term.",1.1,0.7,True,"The proposed issue concerns “proceeds received from sales in the field or prevailing area whichever is the greater,” particularly the undefined geographic terms and the silence about whose sales and the comparison period. Candidate g1 concerns “field or prevailing area” and whether those words denote two different localities or one synonymous geographic term; g2 concerns the whole minimum-proceeds sentence and its relationship to the preceding royalty language, the oil formula, payment timing, and paragraph 3(d)’s cross-reference.","Central to the dispute is the meaning of the phrase “field or prevailing area.” According to Dorchester, “field” refers to the locality where production occurs, whereas “prevailing area” refers to the point of sale. Chesapeake disagrees, contending that “field or prevailing area” is a single term in which “field” and “prevailing area” are more or less synonymous, as in the phrase “cardinal or red.”","The proposed issue and g1 both identify uncertainty in the undefined phrase “field or prevailing area,” but g1 focuses specifically on whether it denotes one locality or two, while the proposed issue emphasizes geographic bounds and missing comparator details such as whose sales and what period. They therefore describe the same underlying ambiguity, with the proposed issue adding omissions not captured by g1."
252FSupp3d52_agreement_for_network_operator__c267__t1_1,252FSupp3d52_agreement_for_network_operator,c267,252 F.Supp.3d 52,11.2 Continued Performance,2.2,model,1,0.33,"Performance continues during a dispute ""unless otherwise directed by MTC,"" a unilateral power given to one Party over obligations that run both ways, with no equivalent for the Network Operator and no statement of whether MTC may thereby suspend its own duties. The scope of that direction is the operative uncertainty.",,,,,0.0,True,"The proposed issue turns on “unless otherwise directed by MTC” and the silence about the scope of MTC’s direction, including whether it reaches MTC’s own duties. Candidate g1 turns on Section 11.2 as a whole and the Guaranty’s cross-reference to “[a]ll other provisions relating to dispute resolution,” not on the MTC-direction clause.",,"The proposed issue concerns the scope and asymmetry of MTC’s unilateral authority to direct otherwise. The recorded defect instead concerns whether Section 11.2 as a whole is incorporated into the Guaranty as an “other provision relating to dispute resolution,” so it is a different defect."
