job_id,contract_id,clause_id,citation,clause_name,taxonomy,taxonomy_provenance,type,prob,issue,matched,matched_key,gold_issue,gold_type,alignment,determinable,words_at_issue,evidence,reason
808FSupp2d552_trademark_license_and_cooperation__c016__t1_2,808FSupp2d552_trademark_license_and_cooperation,c016,808 F.Supp.2d 552,2(a) Licensed Rights,1.1,westlaw,1,1.0,The phrase “subject only to whatever actions or inactions may have been taken or not taken by Morton” left open which of Morton’s prior actions or inactions qualified the ownership warranty.,,,,,0.0,True,"The proposed issue turns on “subject only to whatever actions or inactions may have been taken or not taken by Morton” in the ownership warranty. Candidate g1 turns on “promotion, advertising or marketing” and “broadcasting”; candidate g2 turns on “exclusive license” and the absence of language barring other Hard Rock-branded ventures.",,"The proposed issue concerns uncertainty in the ownership-warranty qualifier concerning Morton’s prior conduct. Neither candidate records that defect: g1 concerns whether licensed promotional and broadcasting uses covered Rehab, while g2 concerns the competitive scope of the exclusive license."
808FSupp2d552_trademark_license_and_cooperation__c016__t1_3,808FSupp2d552_trademark_license_and_cooperation,c016,808 F.Supp.2d 552,2(a) Licensed Rights,1.1,westlaw,1,1.0,The phrase “anywhere in the world” left open whether the worldwide promotional right reached activities that materially interfered with Licensor’s or other licensees’ established operations outside the Morton Territories.,,,,,0.0,True,"The proposed issue turns on “anywhere in the world” and the provision’s silence about interference with Licensor or other licensees outside the Morton Territories. Candidate g1 turns on “promotion, advertising or marketing” and “broadcasting,” specifically whether Rehab falls within those authorized categories; g2 turns on “exclusive license” and whether exclusivity bars other Hard Rock-branded ventures in the Morton Territories.",,"Neither candidate records the proposed limitation on worldwide promotional activity based on interference with outside operations. Although g1 is the closest because its passage mentions “anywhere in the world,” its recorded defect concerns whether Rehab qualifies as promotion or instead is an unauthorized entertainment product, not whether otherwise authorized worldwide promotion is constrained by competitive interference."
808FSupp2d552_trademark_license_and_cooperation__c016__t1_4,808FSupp2d552_trademark_license_and_cooperation,c016,808 F.Supp.2d 552,2(a) Licensed Rights,1.1,westlaw,1,1.0,"The phrase “by its nature, must survive the termination of this Agreement” left open whether Sections 3, 6, 7, 11, and 14 survived termination.",,,,,0.0,True,"The proposed issue turns on the phrase “by its nature, must survive the termination of this Agreement” and whether Sections 3, 6, 7, 11, and 14 survive—language not present in § 2(a). Candidate g1 turns on “promotion, advertising or marketing” and “broadcasting”; candidate g2 turns on “exclusive license,” together with the limits “only” in the Morton Territories and “solely” in connection with specified hotel/casino operations.",,"Neither candidate concerns survival after termination. The proposed issue appears to address language from a different provision, whereas g1 addresses the scope of promotional and broadcasting rights and g2 addresses the scope of the exclusive license."
808FSupp2d552_trademark_license_and_cooperation__c041__t1_1,808FSupp2d552_trademark_license_and_cooperation,c041,808 F.Supp.2d 552,6(a) Protection of marks,1.1,westlaw,1,1.0,The phrase “best efforts” left open whether Licensor was required to pursue every possible avenue to protect the Hard Rock Hotel Marks and Hard Rock Casino Marks.,g1,808FSupp2d552_trademark_license_and_cooperation__c041__i1,The obligation to use “best efforts” to protect the marks and goodwill was challenged as too vague to enforce because it allegedly supplied no objective criteria applicable to a reality-show genre that did not exist when the Agreement was executed.,1.1,0.72,True,"The proposed issue concerns the phrase “best efforts,” specifically whether it sets a maximal obligation to pursue every possible avenue. Candidate g1 concerns the same phrase, specifically whether it supplies objective criteria by which the parties’ efforts can be measured in the context of a later-developed reality-show genre.",The Hard Rock Defendants contend that there are no objective criteria to measure “best efforts” because “the genre of reality shows like ‘Rehab’ did not even exist” when the Agreement was executed.,"Both identify indeterminacy in the “best efforts” obligation. The proposed issue asks whether that standard demands every possible protective avenue, while g1 more broadly challenges the absence of objective criteria for measuring and enforcing the required efforts, so they share the underlying problem but frame its consequence differently."
817FSupp2d1357_settlement_and_release_agreement__c016__t1_1,817FSupp2d1357_settlement_and_release_agreement,c016,817 F.Supp.2d 1357,Confidentiality and non-use,1.1,westlaw,1,1.0,"The phrase `as may be required by law` left open whether it permitted routine business disclosures to accountants, tax advisors, financial advisors, regulatory bodies, and in connection with financial reporting.",,,,,0.0,True,"The proposed issue turns on “except as may be required by law” and whether that exception covers routine business, professional-advisor, regulatory, and financial-reporting disclosures. Candidate g1 turns on “the terms of this Release and the terms of the settlement of this claim” and whether those words cover only written contractual provisions or also oral conditions and the facts and existence of the lawsuits.",,"The proposed issue concerns the scope of the legal-disclosure exception, while g1 concerns what information constitutes confidential “terms.” These are distinct parts of the provision and distinct alleged ambiguities."
97FSupp3d548_mortgage_loan_purchase_agreement__c107__t1_1,97FSupp3d548_mortgage_loan_purchase_agreement,c107,97 F.Supp.3d 548,SECTION 10. Accredited backstop,2.2,westlaw,1,1.0,"The phrase “sole and exclusive remedy under this Agreement or otherwise” left open whether it reached claims arising from fraud or anti-predatory lending law violations and claims for consequential damages, indemnification, or equitable remedies.",,,,,0.0,True,"The proposed issue is about the phrase “sole and exclusive remedy under this Agreement or otherwise,” which is absent from the quoted provision. Candidate g1 is about “a representation or warranty set forth in this Section 10 made by Accredited” and its interaction with the cross-reference to the Accredited Assignment, Assumption and Recognition Agreement in Exhibit 8.",,The proposed issue concerns the scope of an exclusivity-of-remedy phrase that does not appear in this provision. The recorded defect instead concerns whether Section 10’s reference to representations or warranties “set forth in this Section 10” incorporates Accredited’s warranties in Exhibit 8 and therefore triggers MSMC’s backstop obligation.
982FSupp2d518_2003_mta__c009__t1_1,982FSupp2d518_2003_mta,c009,982 F.Supp.2d 518,8. Commercialization and inventions,1.1,westlaw,1,1.0,"The phrase ""for non-commercial purposes"" left open whether the license reached commercial use of inventions arising from use of the Material.",,,,,0.0,True,"The proposed issue turns on “for non-commercial purposes” in the license sentence and whether that limitation leaves commercial use outside the license. Candidate g1 turns on “product that contains Material” in the commercialization sentence, specifically whether copied or modified sequences must include a physical part of the transferred construct.",,"The proposed issue concerns whether the license excludes commercial uses, while g1 concerns what qualifies as a product containing the transferred Material. These are distinct defects in different language of the provision."
982FSupp2d518_2003_mta__c009__t1_2,982FSupp2d518_2003_mta,c009,982 F.Supp.2d 518,8. Commercialization and inventions,1.1,westlaw,1,1.0,"The phrase ""any inventions that arise from the use of the Materials"" left open whether it reached inventions primarily resulting from UPenn's own intellectual contributions.",,,,,0.0,True,"The proposed issue turns on “any inventions that arise from the use of the Materials,” specifically whether “arise from” includes inventions chiefly attributable to UPenn’s own contributions. Candidate g1 turns on “product that contains Material,” together with the definition of Material, and whether copied-and-modified sequences must include a physical part of the transferred construct.",,"The proposed issue concerns the scope of inventions licensed to St. Jude, whereas g1 concerns whether a modified sequence qualifies as Material contained in a commercialized product. Although the passage mentions Penn’s rights in newly created substances, the recorded defect addresses different contractual words and a different boundary."
982FSupp2d518_2003_mta__c009__t1_3,982FSupp2d518_2003_mta,c009,982 F.Supp.2d 518,8. Commercialization and inventions,1.1,westlaw,1,1.0,"The phrase ""all unused Materials"" left open whether it reached Materials already incorporated into derivatives or products, Materials involved in ongoing experiments, or Materials retained for regulatory or legal compliance.",,,,,0.0,True,"The proposed issue turns on the phrase “all unused Materials,” which does not appear in the supplied paragraph 8 text. Candidate g1 turns on “product that contains Material” and the definition of Material—particularly “portions” and “unmodified derivatives”—as applied to a copied and modified sequence.",,"The proposed issue concerns the scope of an “all unused Materials” return or disposal requirement, whereas g1 concerns whether a modified or copied sequence qualifies as Material within a commercialized “product that contains Material.” They identify different language and different defects."
982FSupp2d518_2007_mta__c003__t1_1,982FSupp2d518_2007_mta,c003,982 F.Supp.2d 518,1. Definition of Materials,1.1,westlaw,1,1.0,"The phrase “any progeny, portions, unmodified derivatives and any accompanying know-how or data” left open whether anything Recipient generated using the construct was itself classified as “Materials.”",g1,982FSupp2d518_2007_mta__c003__i1,"The definition’s phrase “progeny, portions, unmodified derivatives and any accompanying know-how or data” was facially ambiguous as to whether a near-exact copy modified for a lentiviral vector was a “portion” of the Campana Construct or an excluded modified derivative requiring no physical part of the transferred construct.",1.1,0.78,True,"The proposed issue concerns “any progeny, portions, unmodified derivatives and any accompanying know-how or data” and its silence about recipient-generated things. Candidate g1 concerns the same phrase, particularly “portions” and “unmodified derivatives,” and whether the modified June Construct was a covered portion or an excluded modified derivative.","Penn argues that the June Construct does not contain a “portion” of the materials because it does not contain “a physical part of the whole provided by St. Jude”, Penn Resp. in Opp. at 20, but instead contains a modified derivative.",Both identify uncertainty over whether a recipient-created construct falls within “Materials” under the enumerated categories. The proposed issue is broader—covering anything generated using the construct—while g1 focuses specifically on a near-exact modified copy and the boundary between a “portion” and an excluded modified derivative.
982FSupp2d518_2007_mta__c012__t1_1,982FSupp2d518_2007_mta,c012,982 F.Supp.2d 518,5. Patent and commercialization notice,1.1,westlaw,1,1.0,"The phrase “could not have been produced but for the use of the Materials” left open whether it reached inventions that were only tangentially related to, or merely enabled by, the Materials.",g1,982FSupp2d518_2007_mta__c012__i1,"The alternatives “contains a portion of the Materials,” “is derived from the Materials,” and “could not have been produced but for” them were facially ambiguous in application to the June Construct, which copied and modified the sequence but contained no physical part of the construct St. Jude supplied.",1.1,0.62,True,"The proposed issue turns specifically on “could not have been produced but for the use of the Materials” and how remote or enabling a causal relationship it covers. Candidate g1 turns on all three alternatives—“contains a portion,” “is derived from,” and “could not have been produced but for”—and their application to a modified copy containing no physical part of the supplied construct.","the commercialization constraints in the 2003 MTA and 2007 MTA do not refer to products “incorporating Materials”, but those “con-tainting] materials” (2003 MTA) or “containing] a portion of the Materials, ... derived from the Materials, or which could not have been produced but for the use of the Materials.” (2007 MTA). Penn argues that the June Construct does not contain a “portion” of the materials because it does not contain “a physical part of the whole provided by St. Jude”, Penn Resp. in Opp. at 20, but instead contains a modified derivative.","Both identify uncertainty in the scope of the “could not have been produced but for” trigger as applied to products related to the Materials without physically containing them. The match is partial because g1 treats all three alternatives together and focuses on a copied-and-modified construct, whereas the proposed issue isolates the causal remoteness of tangentially related or merely enabled inventions."
